dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,FedALA,54,phase2,0.777,0.0,0.6495,0.0
cifar10,FedALA,55,phase2,0.77066667,0.0,0.7005,0.0
cifar10,FedALA,56,phase2,0.77633333,0.0,0.7145,0.0
cifar10,FedALA,57,phase2,0.79083333,0.0,0.7475,0.0
cifar10,FedALA,58,phase2,0.80233333,0.0,0.75175,0.0
cifar10,FedALA,59,phase2,0.79983333,0.0,0.75525,0.0
cifar10,FedALA,60,phase2,0.78683333,0.0,0.74825,0.0
cifar10,FedALA,61,phase2,0.78716667,0.0,0.75825,0.0
cifar10,FedALA,62,phase2,0.79183333,0.0,0.76375,0.0
cifar10,FedALA,63,phase2,0.78383333,0.0,0.77225,0.0
cifar10,FedALA,64,phase2,0.78533333,0.0,0.7735,0.0
cifar10,FedALA,65,phase2,0.75316667,0.0,0.78125,0.0
cifar10,FedALA,66,phase2,0.78766667,0.0,0.77975,0.0
cifar10,FedALA,67,phase2,0.7645,0.0,0.791,0.0
cifar10,FedALA,68,phase2,0.802,0.0,0.79875,0.0
cifar10,FedALA,69,phase2,0.7745,0.0,0.79625,0.0
cifar10,FedALA,70,phase2,0.775,0.0,0.81225,0.0
cifar10,FedALA,71,phase2,0.80683333,0.0,0.8125,0.0
cifar10,FedALA,72,phase2,0.79483333,0.0,0.81325,0.0
cifar10,FedALA,73,phase2,0.80333333,0.0,0.82275,0.0
cifar10,FedALA,74,phase2,0.8095,0.0,0.81825,0.0
cifar10,FedALA,75,phase2,0.79166667,0.0,0.8215,0.0
cifar10,FedALA,76,phase2,0.79683333,0.0,0.81925,0.0
cifar10,FedALA,77,phase2,0.79533333,0.0,0.82175,0.0
cifar10,FedALA,78,phase2,0.79833333,0.0,0.82775,0.0
cifar10,FedALA,79,phase2,0.81116667,0.0,0.8315,0.0
cifar10,FedALA,80,phase2,0.79383333,0.0,0.82975,0.0
cifar10,FedALA,81,phase2,0.81366667,0.0,0.8315,0.0
cifar10,FedALA,82,phase2,0.78916667,0.0,0.8405,0.0
cifar10,FedALA,83,phase2,0.81866667,0.0,0.83775,0.0
cifar10,FedALA,84,phase2,0.7885,0.0,0.8345,0.0
cifar10,FedALA,85,phase2,0.82566667,0.0,0.83725,0.0
cifar10,FedALA,86,phase2,0.80366667,4.167e-05,0.8385,0.0
cifar10,FedALA,87,phase2,0.80116667,0.0,0.83775,0.0
cifar10,FedALA,88,phase2,0.82116667,0.0,0.83825,0.0
cifar10,FedALA,89,phase2,0.8125,0.0,0.84575,0.0
cifar10,FedALA,90,phase2,0.817,0.0,0.841,0.0
cifar10,FedALA,91,phase2,0.82966667,0.0,0.8465,0.0
cifar10,FedALA,92,phase2,0.80516667,0.0,0.8485,0.0
cifar10,FedALA,93,phase2,0.80566667,0.0,0.83575,0.0
cifar10,FedALA,94,phase2,0.8055,0.0,0.84175,0.0
cifar10,FedALA,95,phase2,0.8105,0.0,0.8535,0.0
cifar10,FedALA,96,phase2,0.81683333,0.0,0.84125,0.0
cifar10,FedALA,97,phase2,0.82766667,0.0,0.84875,0.0
cifar10,FedALA,98,phase2,0.83366667,0.0,0.8465,0.0
cifar10,FedALA,99,phase2,0.82116667,0.0,0.8535,0.0
cifar10,FedALA,100,phase2,0.82166667,0.0,0.8515,0.0
cifar10,FedAS,0,phase1,0.16666667,0.08333333,,
cifar10,FedAS,1,phase1,0.50033333,0.0,,
cifar10,FedAS,2,phase1,0.62866667,0.0,,
cifar10,FedAS,3,phase1,0.71716667,0.0,,
cifar10,FedAS,4,phase1,0.73816667,0.0,,
cifar10,FedAS,5,phase1,0.74366667,0.0,,
cifar10,FedAS,6,phase1,0.74533333,0.0,,
