round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
89,0.4933,0.7707,0.2960,0.2833,0.2960,0.1541,1.0969,5.2156,5.2156,10.4312
90,0.4936,0.7707,0.2939,0.2835,0.2939,0.1541,1.0954,5.2156,10.4312,15.6468
91,0.4932,0.7710,0.2939,0.2834,0.2939,0.1542,1.0953,5.2156,5.2156,10.4312
92,0.4952,0.7716,0.2968,0.2853,0.2968,0.1543,1.0923,5.2156,10.4312,15.6468
93,0.4953,0.7707,0.2968,0.2852,0.2968,0.1541,1.0926,5.2156,5.2156,10.4312
94,0.4936,0.7721,0.2972,0.2854,0.2972,0.1545,1.0924,5.2156,10.4312,15.6468
95,0.4939,0.7717,0.2972,0.2855,0.2972,0.1544,1.0913,5.2156,5.2156,10.4312
96,0.4939,0.7715,0.2972,0.2860,0.2972,0.1543,1.0917,5.2156,10.4312,15.6468
97,0.4945,0.7714,0.2972,0.2860,0.2972,0.1544,1.0909,5.2156,5.2156,10.4312
98,0.4938,0.7728,0.2980,0.2865,0.2980,0.1545,1.0893,5.2156,10.4312,15.6468
99,0.4942,0.7730,0.2980,0.2865,0.2980,0.1545,1.0884,5.2156,5.2156,10.4312
100,0.4976,0.7722,0.2998,0.2876,0.2998,0.1546,1.0859,5.2156,10.4312,15.6468
