dataset,method,rho,completed_runs,used_runs,required_round,total_mb_mean,total_mb_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,avg_round_total_mb_mean,avg_round_total_mb_std,sources
cifar10,FedCross,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.0\NC_50\date_20260603\time_051622\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_155805\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_160259\acc.csv
cifar10,FedCross,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.2\NC_50\date_20260603\time_060622\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_175812\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_180333\acc.csv
cifar10,FedCross,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.4\NC_50\date_20260603\time_065618\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_195713\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_200236\acc.csv
cifar10,FedCross,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.6\NC_50\date_20260603\time_080058\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_215638\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_220159\acc.csv
cifar10,FedCross,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.8\NC_50\date_20260603\time_085548\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_235454\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedCross\GM_VGG8\splitgp_rho0.8\NC_50\date_20260614\time_000019\acc.csv
cifar10,FedDST,0.0,8,3,101,275.760000,0.000000,138.010000,0.000000,137.740000,0.000000,2.730297,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_003548\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_021734\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.0\NC_50\date_20260619\time_035537\acc.csv
cifar10,FedDST,0.2,5,3,101,210.383333,113.235708,105.323333,56.614967,105.053333,56.614967,2.083003,1.121146,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260618\time_102019\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_041716\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.2\NC_50\date_20260619\time_114920\acc.csv
cifar10,FedDST,0.4,5,3,101,210.383333,113.235708,105.323333,56.614967,105.053333,56.614967,2.083003,1.121146,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260618\time_104103\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_043835\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.4\NC_50\date_20260619\time_121021\acc.csv
cifar10,FedDST,0.6,5,3,101,210.383333,113.235708,105.323333,56.614967,105.053333,56.614967,2.083003,1.121146,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260618\time_110144\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_045931\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.6\NC_50\date_20260619\time_123111\acc.csv
cifar10,FedDST,0.8,5,3,101,210.383333,113.235708,105.323333,56.614967,105.053333,56.614967,2.083003,1.121146,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260618\time_112227\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_052019\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedDST\GM_VGG8\splitgp_rho0.8\NC_50\date_20260619\time_125212\acc.csv
