round,cluster_id,accuracy,samples
31,0,0.7113,665
31,1,1.0000,794
31,2,0.9618,1363
31,3,0.7984,382
31,4,0.8542,1063
31,5,0.8566,809
31,6,0.7045,291
31,7,0.9945,1282
31,8,0.8326,1499
31,9,0.7181,1082
31,10,0.9561,775
31,11,0.8282,454
31,12,0.7500,360
31,13,0.8704,656
31,14,0.8977,1066
31,15,0.5714,406
31,16,0.7865,520
31,17,0.8482,303
31,18,0.5784,491
31,19,0.8723,744
32,0,0.6541,665
32,1,1.0000,794
32,2,0.9618,1363
32,3,0.8504,1063
32,4,0.9561,775
32,5,0.7148,291
32,6,0.7126,1082
32,7,0.9945,1282
32,8,0.7984,382
32,9,0.8723,744
32,10,0.8578,809
32,11,0.8282,454
32,12,0.7472,360
32,13,0.8949,1066
32,14,0.8704,656
32,15,0.7827,520
32,16,0.5665,406
32,17,0.5866,491
32,18,0.8352,1499
32,19,0.8449,303
33,0,0.6541,665
33,1,1.0000,794
33,2,0.9618,1363
33,3,0.8532,1063
33,4,0.9561,775
33,5,0.7148,291
33,6,0.7255,1082
33,7,0.9945,1282
33,8,0.7984,382
33,9,0.8723,744
33,10,0.8603,809
33,11,0.8282,454
33,12,0.7500,360
33,13,0.9006,1066
33,14,0.8704,656
33,15,0.7827,520
33,16,0.5665,406
33,17,0.5825,491
33,18,0.8392,1499
33,19,0.8482,303
34,0,0.6541,665
34,1,0.9618,1363
34,2,0.8532,1063
34,3,0.7984,382
34,4,1.0000,794
34,5,0.7311,1082
34,6,0.7472,360
34,7,0.8406,1499
34,8,0.5845,491
34,9,0.8282,454
34,10,0.8616,809
34,11,0.9561,775
34,12,0.8689,656
34,13,0.9945,1282
34,14,0.8996,1066
34,15,0.7827,520
34,16,0.7148,291
34,17,0.8482,303
34,18,0.8723,744
34,19,0.5665,406
35,0,0.6541,665
35,1,0.9618,1363
35,2,0.8542,1063
35,3,0.7984,382
35,4,1.0000,794
35,5,0.7394,1082
35,6,0.7472,360
35,7,0.8432,1499
35,8,0.5866,491
35,9,0.8282,454
35,10,0.8640,809
35,11,0.9561,775
35,12,0.8720,656
35,13,0.9945,1282
35,14,0.9034,1066
35,15,0.7827,520
35,16,0.7182,291
35,17,0.8482,303
35,18,0.8723,744
35,19,0.5640,406
36,0,0.6406,665
36,1,1.0000,794
36,2,0.9618,1363
36,3,0.8561,1063
36,4,0.7311,1082
36,5,0.8479,1499
36,6,0.8665,809
36,7,0.9945,1282
36,8,0.7984,382
36,9,0.9561,775
36,10,0.8282,454
36,11,0.7148,291
36,12,0.9015,1066
36,13,0.7472,360
36,14,0.8689,656
36,15,0.7808,520
36,16,0.5665,406
36,17,0.8482,303
36,18,0.5886,491
36,19,0.8723,744
37,0,0.6406,665
37,1,1.0000,794
37,2,0.9618,1363
37,3,0.8561,1063
37,4,0.7366,1082
37,5,0.8506,1499
37,6,0.8677,809
37,7,0.9945,1282
37,8,0.7984,382
37,9,0.9561,775
37,10,0.8282,454
37,11,0.7148,291
37,12,0.9062,1066
37,13,0.7472,360
37,14,0.8674,656
37,15,0.7788,520
37,16,0.5690,406
37,17,0.8515,303
37,18,0.5866,491
37,19,0.8723,744
38,0,0.6406,665
38,1,0.9618,1363
38,2,0.9561,775
38,3,0.8561,1063
