round,cluster_id,accuracy,samples
71,0,0.4140,2000
71,1,0.5355,2000
71,3,0.4540,2000
71,4,0.5990,2000
71,7,0.6210,2000
72,0,0.4130,2000
72,1,0.5350,2000
72,3,0.4500,2000
72,4,0.6000,2000
72,7,0.6250,2000
73,0,0.4120,2000
73,1,0.5340,2000
73,3,0.4490,2000
73,4,0.6015,2000
73,7,0.6250,2000
74,0,0.4175,2000
74,1,0.5320,2000
74,3,0.4565,2000
74,4,0.6005,2000
74,7,0.6215,2000
75,0,0.4190,2000
75,1,0.5320,2000
75,3,0.4590,2000
75,4,0.6010,2000
75,7,0.6220,2000
76,0,0.4125,2000
76,1,0.5320,2000
76,3,0.4575,2000
76,4,0.6025,2000
76,7,0.6253,1500
76,8,0.6240,500
77,0,0.4140,2000
77,1,0.5325,2000
77,3,0.4585,2000
77,4,0.6030,2000
77,7,0.6220,1500
77,8,0.6300,500
78,0,0.4110,2000
78,1,0.5340,2000
78,3,0.4515,2000
78,4,0.6040,2000
78,7,0.6220,2000
79,0,0.4120,2000
79,1,0.5335,2000
79,3,0.4535,2000
79,4,0.6050,2000
79,7,0.6225,2000
80,0,0.4100,2000
80,1,0.5327,1500
80,3,0.4630,2000
80,4,0.6030,2000
80,7,0.6260,1500
80,8,0.6180,500
80,9,0.5320,500
81,0,0.4115,2000
81,1,0.5340,1500
81,3,0.4640,2000
81,4,0.6025,2000
81,7,0.6280,1500
81,8,0.6160,500
81,9,0.5300,500
82,0,0.4165,2000
82,1,0.5400,2000
82,3,0.4585,2000
82,4,0.6030,2000
82,7,0.6290,2000
83,0,0.4170,2000
83,1,0.5400,2000
83,3,0.4620,2000
83,4,0.6060,2000
83,7,0.6295,2000
84,0,0.4135,2000
84,1,0.5390,2000
84,3,0.4580,2000
84,4,0.6075,2000
84,7,0.6287,1500
84,8,0.6260,500
85,0,0.4155,2000
85,1,0.5375,2000
85,3,0.4595,2000
85,4,0.6100,2000
85,7,0.6293,1500
85,8,0.6180,500
86,0,0.4140,2000
86,1,0.5385,2000
86,3,0.4645,2000
86,4,0.6060,2000
86,7,0.6407,1500
86,9,0.6120,500
87,0,0.4145,2000
87,1,0.5385,2000
87,3,0.4675,2000
87,4,0.6060,2000
87,7,0.6393,1500
87,9,0.6120,500
88,0,0.4220,2000
88,1,0.5440,2000
88,3,0.4680,2000
88,4,0.6080,2000
88,7,0.6300,2000
89,0,0.4210,2000
89,1,0.5425,2000
89,3,0.4690,2000
89,4,0.6090,2000
89,7,0.6315,2000
90,0,0.4180,2000
90,1,0.5440,1000
90,3,0.4700,2000
90,4,0.6060,2000
90,7,0.6325,2000
90,8,0.5390,1000
91,0,0.4205,2000
91,1,0.5480,1000
91,3,0.4690,2000
91,4,0.6055,2000
91,7,0.6300,2000
91,8,0.5360,1000
92,0,0.4220,2000
92,1,0.5425,2000
92,3,0.4690,2000
92,4,0.6055,2000
92,7,0.6255,2000
93,0,0.4165,2000
93,1,0.5425,2000
93,3,0.4670,2000
93,4,0.6080,2000
93,7,0.6260,2000
94,0,0.4195,2000
94,1,0.5425,2000
94,3,0.4730,2000
94,4,0.6100,2000
94,7,0.6245,2000
95,0,0.4195,2000
95,1,0.5420,2000
95,3,0.4745,2000
95,4,0.6080,2000
95,7,0.6260,2000
96,0,0.4155,2000
96,1,0.5445,2000
96,3,0.4710,2000
96,4,0.6115,2000
96,7,0.6230,2000
97,0,0.4185,2000
97,1,0.5430,2000
97,3,0.4710,2000
97,4,0.6130,2000
97,7,0.6235,2000
98,0,0.4205,2000
98,1,0.5460,2000
98,3,0.4807,1500
98,4,0.6125,2000
98,7,0.6300,2000
98,8,0.4420,500
99,0,0.4200,2000
99,1,0.5470,2000
99,3,0.4807,1500
99,4,0.6125,2000
99,7,0.6290,2000
99,8,0.4400,500
100,0,0.4215,2000
100,1,0.5445,2000
100,3,0.4735,2000
100,4,0.6130,2000
100,7,0.6390,1000
100,9,0.6320,500
100,10,0.6080,500
