round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
47,0.7287,0.7884,0.1986,0.1754,0.1986,0.1577,0.3506,0.3500,0.3649,0.8981,0.3181,0.3504,0.3500,0.3649,0.8537,0.2939,1.1865,78.6281,78.6281,157.2562
48,0.7275,0.7884,0.2005,0.1756,0.2004,0.1576,0.3506,0.3500,0.3655,0.8964,0.3199,0.3505,0.3500,0.3655,0.8496,0.2959,1.1858,78.6281,78.6281,157.2562
49,0.7276,0.7906,0.2021,0.1762,0.2021,0.1582,0.3506,0.3500,0.3655,0.8941,0.3233,0.3505,0.3500,0.3655,0.8504,0.2985,1.1824,78.6281,78.6281,157.2562
50,0.7326,0.7938,0.2026,0.1768,0.2025,0.1589,0.3506,0.3500,0.3650,0.8983,0.3232,0.3505,0.3500,0.3650,0.8509,0.2956,1.1767,78.6281,78.6281,157.2562
51,0.7320,0.7870,0.2034,0.1752,0.2033,0.1574,0.3506,0.3500,0.3646,0.8931,0.3227,0.3505,0.3500,0.3646,0.8504,0.2931,1.1775,78.6281,78.6281,157.2562
52,0.7368,0.7959,0.2078,0.1781,0.2078,0.1590,0.3507,0.3500,0.3659,0.8963,0.3267,0.3505,0.3500,0.3659,0.8497,0.2966,1.1711,78.6281,78.6281,157.2562
53,0.7365,0.7978,0.2104,0.1782,0.2104,0.1594,0.3507,0.3500,0.3654,0.8983,0.3283,0.3505,0.3500,0.3654,0.8542,0.2968,1.1685,78.6281,78.6281,157.2562
54,0.7362,0.7970,0.2117,0.1788,0.2117,0.1595,0.3507,0.3500,0.3657,0.8991,0.3313,0.3506,0.3500,0.3659,0.8502,0.3003,1.1656,78.6281,78.6281,157.2562
55,0.7357,0.7985,0.2154,0.1779,0.2154,0.1596,0.3508,0.3500,0.3658,0.8958,0.3354,0.3506,0.3500,0.3665,0.8529,0.2985,1.1640,78.6281,78.6281,157.2562
56,0.7369,0.7980,0.2153,0.1791,0.2153,0.1594,0.3508,0.3500,0.3655,0.8993,0.3348,0.3506,0.3500,0.3669,0.8503,0.3024,1.1622,78.6281,78.6281,157.2562
57,0.7366,0.7966,0.2149,0.1807,0.2148,0.1592,0.3508,0.3500,0.3661,0.8971,0.3359,0.3506,0.3500,0.3676,0.8448,0.3055,1.1602,78.6281,78.6281,157.2562
58,0.7375,0.7950,0.2180,0.1804,0.2180,0.1591,0.3508,0.3500,0.3661,0.8943,0.3385,0.3506,0.3500,0.3680,0.8463,0.3042,1.1571,78.6281,78.6281,157.2562
59,0.7340,0.7975,0.2185,0.1796,0.2185,0.1597,0.3509,0.3500,0.3673,0.8955,0.3437,0.3507,0.3500,0.3673,0.8458,0.3075,1.1559,78.6281,78.6281,157.2562
60,0.7401,0.7979,0.2217,0.1818,0.2216,0.1595,0.3509,0.3500,0.3667,0.8932,0.3426,0.3507,0.3500,0.3667,0.8436,0.3063,1.1523,78.6281,78.6281,157.2562
61,0.7379,0.7998,0.2231,0.1825,0.2231,0.1598,0.3510,0.3500,0.3675,0.8966,0.3465,0.3507,0.3500,0.3707,0.8438,0.3096,1.1510,78.6281,78.6281,157.2562
62,0.7364,0.8003,0.2244,0.1823,0.2244,0.1598,0.3510,0.3500,0.3681,0.9003,0.3487,0.3507,0.3500,0.3681,0.8456,0.3110,1.1500,78.6281,78.6281,157.2562
63,0.7373,0.8028,0.2253,0.1827,0.2253,0.1602,0.3511,0.3500,0.3682,0.8956,0.3514,0.3508,0.3500,0.3682,0.8430,0.3118,1.1472,78.6281,78.6281,157.2562
64,0.7388,0.8042,0.2290,0.1836,0.2290,0.1608,0.3511,0.3500,0.3699,0.8915,0.3538,0.3508,0.3500,0.3699,0.8414,0.3121,1.1441,78.6281,78.6281,157.2562
65,0.7401,0.8033,0.2272,0.1829,0.2274,0.1607,0.3512,0.3500,0.3685,0.8942,0.3494,0.3509,0.3500,0.3685,0.8449,0.3076,1.1430,78.6281,78.6281,157.2562
66,0.7379,0.7969,0.2302,0.1842,0.2302,0.1595,0.3512,0.3500,0.3685,0.8934,0.3531,0.3509,0.3500,0.3685,0.8398,0.3139,1.1423,78.6281,78.6281,157.2562
67,0.7409,0.8050,0.2308,0.1846,0.2308,0.1608,0.3512,0.3500,0.3695,0.8951,0.3543,0.3509,0.3500,0.3695,0.8425,0.3115,1.1381,78.6281,78.6281,157.2562
68,0.7396,0.7987,0.2316,0.1849,0.2316,0.1600,0.3513,0.3500,0.3685,0.8956,0.3560,0.3509,0.3500,0.3697,0.8421,0.3133,1.1385,78.6281,78.6281,157.2562
69,0.7405,0.8042,0.2339,0.1850,0.2339,0.1608,0.3513,0.3500,0.3690,0.8968,0.3580,0.3510,0.3500,0.3690,0.8438,0.3127,1.1342,78.6281,78.6281,157.2562
70,0.7412,0.8047,0.2332,0.1865,0.2332,0.1610,0.3513,0.3500,0.3702,0.8941,0.3591,0.3510,0.3500,0.3702,0.8409,0.3159,1.1325,78.6281,78.6281,157.2562
71,0.7410,0.8041,0.2351,0.1868,0.2351,0.1608,0.3514,0.3500,0.3706,0.8973,0.3609,0.3510,0.3500,0.3731,0.8406,0.3178,1.1311,78.6281,78.6281,157.2562
72,0.7428,0.8069,0.2372,0.1880,0.2372,0.1612,0.3514,0.3500,0.3723,0.8976,0.3618,0.3511,0.3500,0.3723,0.8420,0.3173,1.1303,78.6281,78.6281,157.2562
73,0.7427,0.8047,0.2366,0.1881,0.2365,0.1609,0.3515,0.3500,0.3710,0.8972,0.3630,0.3511,0.3500,0.3743,0.8399,0.3193,1.1277,78.6281,78.6281,157.2562
74,0.7438,0.8073,0.2387,0.1893,0.2387,0.1613,0.3516,0.3500,0.3728,0.8977,0.3628,0.3511,0.3500,0.3728,0.8395,0.3185,1.1238,78.6281,78.6281,157.2562
75,0.7452,0.8101,0.2392,0.1889,0.2392,0.1615,0.3516,0.3500,0.3720,0.8996,0.3630,0.3511,0.3500,0.3720,0.8434,0.3155,1.1232,78.6281,78.6281,157.2562
76,0.7426,0.8070,0.2414,0.1903,0.2415,0.1612,0.3516,0.3500,0.3729,0.8965,0.3652,0.3512,0.3500,0.3730,0.8386,0.3204,1.1216,78.6281,78.6281,157.2562
77,0.7457,0.8096,0.2415,0.1909,0.2416,0.1618,0.3517,0.3500,0.3728,0.8949,0.3650,0.3513,0.3500,0.3729,0.8378,0.3198,1.1182,78.6281,78.6281,157.2562
78,0.7410,0.8051,0.2420,0.1900,0.2420,0.1611,0.3518,0.3500,0.3738,0.8949,0.3683,0.3513,0.3500,0.3785,0.8352,0.3221,1.1202,78.6281,78.6281,157.2562
79,0.7446,0.8101,0.2404,0.1902,0.2405,0.1618,0.3518,0.3500,0.3732,0.8982,0.3662,0.3513,0.3500,0.3732,0.8401,0.3192,1.1164,78.6281,78.6281,157.2562
80,0.7456,0.8093,0.2441,0.1921,0.2441,0.1616,0.3519,0.3500,0.3742,0.8983,0.3697,0.3514,0.3500,0.3742,0.8371,0.3225,1.1147,78.6281,78.6281,157.2562
81,0.7445,0.8119,0.2451,0.1923,0.2450,0.1620,0.3519,0.3500,0.3748,0.8917,0.3732,0.3514,0.3500,0.3755,0.8348,0.3230,1.1115,78.6281,78.6281,157.2562
82,0.7471,0.8110,0.2486,0.1943,0.2486,0.1620,0.3520,0.3500,0.3748,0.8960,0.3737,0.3515,0.3500,0.3755,0.8341,0.3250,1.1098,78.6281,78.6281,157.2562
83,0.7478,0.8113,0.2481,0.1940,0.2481,0.1623,0.3521,0.3500,0.3756,0.8963,0.3731,0.3515,0.3500,0.3756,0.8359,0.3235,1.1074,78.6281,78.6281,157.2562
84,0.7463,0.8102,0.2474,0.1935,0.2474,0.1623,0.3521,0.3500,0.3750,0.8953,0.3742,0.3515,0.3500,0.3755,0.8355,0.3239,1.1097,78.6281,78.6281,157.2562
85,0.7465,0.8132,0.2490,0.1949,0.2490,0.1624,0.3522,0.3500,0.3772,0.8940,0.3751,0.3516,0.3500,0.3772,0.8339,0.3251,1.1036,78.6281,78.6281,157.2562
86,0.7463,0.8098,0.2508,0.1960,0.2508,0.1622,0.3522,0.3500,0.3763,0.8919,0.3751,0.3516,0.3500,0.3784,0.8311,0.3253,1.1018,78.6281,78.6281,157.2562
87,0.7463,0.8135,0.2542,0.1972,0.2541,0.1626,0.3523,0.3500,0.3779,0.8925,0.3797,0.3516,0.3500,0.3779,0.8289,0.3296,1.0995,78.6281,78.6281,157.2562
88,0.7487,0.8127,0.2523,0.1965,0.2523,0.1625,0.3523,0.3500,0.3773,0.8958,0.3759,0.3517,0.3500,0.3780,0.8333,0.3272,1.0992,78.6281,78.6281,157.2562
89,0.7504,0.8138,0.2551,0.1978,0.2551,0.1628,0.3524,0.3500,0.3777,0.8940,0.3797,0.3517,0.3500,0.3786,0.8330,0.3270,1.0962,78.6281,78.6281,157.2562
90,0.7485,0.8114,0.2569,0.1982,0.2569,0.1623,0.3524,0.3500,0.3781,0.8924,0.3825,0.3517,0.3500,0.3800,0.8309,0.3287,1.0953,78.6281,78.6281,157.2562
91,0.7491,0.8112,0.2569,0.1991,0.2569,0.1623,0.3525,0.3500,0.3779,0.8965,0.3813,0.3518,0.3500,0.3791,0.8292,0.3312,1.0936,78.6281,78.6281,157.2562
92,0.7236,0.7879,0.2583,0.2003,0.2583,0.1625,0.3526,0.3500,0.3788,0.8848,0.4032,0.3519,0.3500,0.3815,0.8193,0.3490,1.1281,78.6281,78.6281,157.2562
93,0.7320,0.8029,0.2601,0.2015,0.2600,0.1625,0.3527,0.3500,0.3786,0.8803,0.4038,0.3519,0.3500,0.3815,0.8121,0.3507,1.1167,78.6281,78.6281,157.2562
94,0.7441,0.8142,0.2588,0.2007,0.2589,0.1627,0.3528,0.3500,0.3830,0.8884,0.3918,0.3520,0.3500,0.3833,0.8227,0.3396,1.0948,78.6281,78.6281,157.2562
95,0.7464,0.8146,0.2613,0.2019,0.2613,0.1626,0.3528,0.3500,0.3796,0.8927,0.3918,0.3520,0.3500,0.3838,0.8232,0.3397,1.0929,78.6281,78.6281,157.2562
96,0.7461,0.8169,0.2608,0.2017,0.2608,0.1630,0.3529,0.3500,0.3810,0.8894,0.3938,0.3521,0.3500,0.3852,0.8224,0.3391,1.0906,78.6281,78.6281,157.2562
97,0.7484,0.8179,0.2630,0.2030,0.2630,0.1635,0.3530,0.3500,0.3811,0.8896,0.3924,0.3521,0.3500,0.3858,0.8227,0.3383,1.0865,78.6281,78.6281,157.2562
98,0.7496,0.8173,0.2631,0.2032,0.2631,0.1633,0.3530,0.3500,0.3819,0.8922,0.3915,0.3522,0.3500,0.3856,0.8245,0.3365,1.0840,78.6281,78.6281,157.2562
99,0.7464,0.8154,0.2645,0.2031,0.2645,0.1630,0.3532,0.3500,0.3839,0.8935,0.3955,0.3522,0.3500,0.3847,0.8252,0.3388,1.0848,78.6281,78.6281,157.2562
100,0.7474,0.8168,0.2645,0.2029,0.2645,0.1633,0.3532,0.3500,0.3838,0.8928,0.3947,0.3522,0.3500,0.3855,0.8249,0.3372,1.0812,78.6281,78.6281,157.2562
