round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
26,0.8622,0.1724,0.0971,0.4932,495.2512,495.2512,990.5023
27,0.8440,0.1684,0.0971,0.6392,495.2512,495.2512,990.5023
28,0.8089,0.2107,0.0979,0.5944,495.2512,9619.0019,10114.2531
29,0.8718,0.1751,0.0979,0.5984,495.2512,495.2512,990.5023
30,0.8404,0.1682,0.0979,0.4965,495.2512,495.2512,990.5023
31,0.8586,0.1715,0.0979,0.9591,495.2512,495.2512,990.5023
32,0.6745,0.1855,0.1036,0.9530,495.2512,9619.0019,10114.2531
33,0.8362,0.1672,0.1036,1.0745,495.2512,495.2512,990.5023
34,0.8468,0.1703,0.1036,0.9662,495.2512,495.2512,990.5023
35,0.8238,0.1646,0.1036,0.8254,495.2512,495.2512,990.5023
36,0.7363,0.1868,0.0962,0.8015,495.2512,9619.0019,10114.2531
37,0.8181,0.1670,0.0962,2.7223,495.2512,495.2512,990.5023
38,0.8589,0.1742,0.0962,0.6697,495.2512,495.2512,990.5023
39,0.8257,0.1669,0.0962,1.3125,495.2512,495.2512,990.5023
40,0.8356,0.1901,0.1056,0.5144,495.2512,9619.0019,10114.2531
41,0.8665,0.1742,0.1056,0.6294,495.2512,495.2512,990.5023
42,0.8488,0.1711,0.1056,0.7618,495.2512,495.2512,990.5023
43,0.8404,0.1689,0.1056,0.9413,495.2512,495.2512,990.5023
44,0.6563,0.2093,0.1096,1.1244,495.2512,9619.0019,10114.2531
45,0.7492,0.1507,0.1096,6.3656,495.2512,495.2512,990.5023
46,0.7586,0.1521,0.1096,3.8768,495.2512,495.2512,990.5023
47,0.7831,0.1562,0.1096,4.7935,495.2512,495.2512,990.5023
48,0.6776,0.2233,0.0913,1.5748,495.2512,9619.0019,10114.2531
49,0.8400,0.1693,0.0913,1.8719,495.2512,495.2512,990.5023
50,0.8355,0.1683,0.0913,1.0996,495.2512,495.2512,990.5023
51,0.8243,0.1656,0.0913,1.5387,495.2512,495.2512,990.5023
52,0.6005,0.2043,0.0942,1.9437,495.2512,9619.0019,10114.2531
53,0.7390,0.1485,0.0942,9.6035,495.2512,495.2512,990.5023
54,0.7667,0.1531,0.0942,5.5716,495.2512,495.2512,990.5023
55,0.8271,0.1659,0.0942,1.7910,495.2512,495.2512,990.5023
56,0.6534,0.2145,0.0837,1.8507,495.2512,9619.0019,10114.2531
57,0.8234,0.1659,0.0837,2.7979,495.2512,495.2512,990.5023
58,0.8398,0.1685,0.0837,3.1739,495.2512,495.2512,990.5023
59,0.8111,0.1626,0.0837,4.1450,495.2512,495.2512,990.5023
60,0.5903,0.2103,0.0975,1.8064,495.2512,9619.0019,10114.2531
61,0.8458,0.1693,0.0975,1.5226,495.2512,495.2512,990.5023
62,0.8287,0.1664,0.0975,1.0549,495.2512,495.2512,990.5023
63,0.8517,0.1710,0.0975,0.8274,495.2512,495.2512,990.5023
64,0.6210,0.1959,0.0992,1.5996,495.2512,9619.0019,10114.2531
65,0.8156,0.1631,0.0992,3.9982,495.2512,495.2512,990.5023
66,0.8519,0.1699,0.0992,1.0582,495.2512,495.2512,990.5023
67,0.8662,0.1731,0.0992,0.8385,495.2512,495.2512,990.5023
68,0.6216,0.1949,0.0865,2.4272,495.2512,9619.0019,10114.2531
69,0.8520,0.1716,0.0865,1.3732,495.2512,495.2512,990.5023
70,0.8297,0.1663,0.0865,1.0415,495.2512,495.2512,990.5023
71,0.8396,0.1682,0.0865,1.0078,495.2512,495.2512,990.5023
72,0.6158,0.2022,0.0848,1.8310,495.2512,9619.0019,10114.2531
73,0.8347,0.1676,0.0848,2.0968,495.2512,495.2512,990.5023
74,0.8777,0.1760,0.0848,0.7259,495.2512,495.2512,990.5023
75,0.8551,0.1714,0.0848,1.1535,495.2512,495.2512,990.5023
76,0.7722,0.2085,0.0952,0.8867,495.2512,9619.0019,10114.2531
77,0.7909,0.1588,0.0952,7.2420,495.2512,495.2512,990.5023
78,0.8581,0.1720,0.0952,1.4970,495.2512,495.2512,990.5023
79,0.8319,0.1662,0.0952,2.3920,495.2512,495.2512,990.5023
80,0.6602,0.1946,0.0887,3.4981,495.2512,9619.0019,10114.2531
81,0.7961,0.1618,0.0887,5.9203,495.2512,495.2512,990.5023
82,0.8034,0.1689,0.0887,1.8076,495.2512,495.2512,990.5023
83,0.8268,0.1665,0.0887,1.4409,495.2512,495.2512,990.5023
84,0.6403,0.2285,0.0755,1.8631,495.2512,9619.0019,10114.2531
85,0.8853,0.1775,0.0755,0.4731,495.2512,495.2512,990.5023
86,0.8511,0.1705,0.0755,1.4773,495.2512,495.2512,990.5023
87,0.8614,0.1723,0.0755,0.8820,495.2512,495.2512,990.5023
88,0.5813,0.1929,0.0890,2.2279,495.2512,9619.0019,10114.2531
89,0.8509,0.1710,0.0890,1.1721,495.2512,495.2512,990.5023
90,0.8495,0.1698,0.0890,1.1099,495.2512,495.2512,990.5023
91,0.8661,0.1722,0.0890,1.3004,495.2512,495.2512,990.5023
92,0.6589,0.2286,0.0750,1.8746,495.2512,9619.0019,10114.2531
93,0.8301,0.1664,0.0750,1.9938,495.2512,495.2512,990.5023
94,0.8433,0.1689,0.0750,2.5230,495.2512,495.2512,990.5023
95,0.8569,0.1709,0.0750,1.9700,495.2512,495.2512,990.5023
96,0.5446,0.1951,0.0824,5.1076,495.2512,9619.0019,10114.2531
97,0.8070,0.1626,0.0824,13.1155,495.2512,495.2512,990.5023
98,0.8285,0.1701,0.0824,2.4574,495.2512,495.2512,990.5023
99,0.8479,0.1715,0.0824,1.5898,495.2512,495.2512,990.5023
100,0.6018,0.1991,0.0929,3.2981,495.2512,9619.0019,10114.2531
